## Database of items associated with the metric system.
## 
## This file contains descriptions of units and items that are in common use in
## the "metric system" outside of the scope of the SI. This includes "metric"
## units that predate the SI or enjoy common use within the scientific or
## international community despite not having official status within the SI.



# TODO Citations for all of this!



## Alternative forms of SI prefixes.

## I remember having an old composition notebook way back in 5th grade with a
## table of metric prefixed printed on the inside cover, and I could swear that
## the table showed the symbol for deka- (with a k 'cause America) as being
## "dk".
P | dk | 1e1

## For ASCII compatibility purposes, the symbol u- is often used to represent
## micro-. In certain reliability-critical contexts, the symbol mc- is
## occasionally used to represent micro- as well.
P | u  | 1e-6
P | mc | 1e-6



## Units of duration.

## The symbol sec is often used to represent the second.
U | sec | DUR | 1

## The symbol hr is often used to represent the hour.
U | hr | DUR | 3 600

## The symbol day is often used to represent the day.
U | day | DUR | 86 400

## The week, symbol: wk, defined as 7 days.
U | wk | DUR | 604 800

## The Julian year, symbol: a_j, defined as 365.25 days. The symbol aj is often
## used to represent this unit for technical expediency. The symbol a is often
## used to represent this unit.
U | a_j | DUR | 31 557 600
U | aj  | DUR | 31 557 600
U | a   | DUR | 31 557 600

## The Martian mean solar day, symbol: sol, accepted to be 24 hours, 39 minutes,
## and 35.244 seconds [1].
## 
## There does not appear to be any official position as to whether the Martial
## mean solar day is *defined* to be this value or *accepted* to be this value,
## so in my *clearly apparent* capacity as an adjudicator on this matter, I am
## going to decree that the Martial mean solar day is *accepted* to be this
## value. This is the first step to fulfilling my isekai power fantasies. No one
## can stop me.
## 
## While subdivisions of the Martian mean solar day exist (in the form analogous
## to Terrestrial hours, minutes, and seconds), there do not appear to be any
## commonly accepted symbols for these units that do not clash with the symbols
## for their analogous Terrestrial units.
U | sol | DUR | 88 775.244
# TODO whether "Terrestrial" be capitalized in this context or not is the
# subject of a huge internet fight.



## Units of length.

## The nautical mile, symbol: NM, defined as exactly 1 852 metres.
U | NM | LEN | 1 852

## The ångström, symbol: Å, defined as 0.1 nanometres. The symbol A is sometimes
## used to represent this unit for ASCII compatibility purposes.
U | Å | LEN | 1e-10
U | A | LEN | 1e-10

## The symbol ly is often used to represent the lightyear, an alternate name for
## *c* multiplied by the Julian year,
U | ly | LEN | 9 460 730 472 580 800

## The parsec, symbol: pc, defined as 648 000/π astronomical units.
U | pc | LEN | 96 939 420 213 600 000/π



## Units of mass.

## The symbol eV is often used to represent the electronvolt per *c*².
U | eV | MAS | 801 088 317/4.493 775 893 684 088 2e44



## Units of thermodynamic temperature.

## The symbol °K is occasionally used to represent the kelvin.
U | °K | TMP | 1



## Units of plane angle.

## The symbol deg is often used to represent the degree.
U | deg | ANG | π/180

## The symbol arcmin is often used to represent the minute. The symbol ' is
## often used to represent this unit for ASCII compatibility purposes.
U | arcmin | ANG | π/10 800
U | '      | ANG | π/10 800
# TODO min?

## The symbol arcsec is often used to represent the second. The symbol " is
## often used to represent this unit for ASCII compatibility purposes. The
## symbol '' is used to represent this unit for further compatibility.
U | arcsec | ANG | π/648 000
U | "      | ANG | π/648 000
U | ''     | ANG | π/648 000
# TODO sec?

## The turn, symbol: tr, defined as 2π radians.
U | tr | ANG | 2π



## Units of solid angle

## The spat, symbol: sp, defined as 4π steradians.
U | sp | ANG^2 | 4π



## Units of frequency.

## The symbol cps is used to represent the cycle per second, an alternate name
## for the hertz.
U | cps | DUR^-1 | 1

## The symbol rpm is used to represent the revolution per minute, an alternate
## name for the reciprocal minute. The symbol RPM is often used to represent
## this unit as well.
U | rpm | DUR^-1 | 1/60
U | RPM | DUR^-1 | 1/60



## Units of force.

## The gram-force, symbol: g_f, or alternatively, the pond, symbol: p, defined
## as the gram multiplied by *g*_0. The symbols g_F, gf, and gF are often used
## to represent this unit for technical expediency. The symbol g is often used
## to represent this unit in contexts where the distinction between mass and
## weight is unimportant.
U | g_f | MAS * LEN * DUR^-2 | 0.009 806 65
U | p   | MAS * LEN * DUR^-2 | 0.009 806 65
U | g_F | MAS * LEN * DUR^-2 | 0.009 806 65
U | gf  | MAS * LEN * DUR^-2 | 0.009 806 65
U | gF  | MAS * LEN * DUR^-2 | 0.009 806 65
U | g   | MAS * LEN * DUR^-2 | 0.009 806 65

